Device,MAC,Timestamp,Time(03:00),Elapsed(s),W(number),X(number),Y (number),Z (number)
MetaWear61,E15561CB9161,1708084870725,2024-02-16T14:01:10,0,0.76031727,-0.2330432,-0.60630727,1E-08
MetaWear61,E15561CB9161,1708084870735,2024-02-16T14:01:10,0.01,0.76027524,-0.23307866,-0.6063463,6.06E-05
MetaWear61,E15561CB9161,1708084870745,2024-02-16T14:01:10,0.02,0.7602336,-0.23307818,-0.6063987,7.61E-05
MetaWear61,E15561CB9161,1708084870755,2024-02-16T14:01:10,0.03,0.76020104,-0.23311019,-0.6064272,1.29E-04
MetaWear61,E15561CB9161,1708084870765,2024-02-16T14:01:10,0.04,0.76020086,-0.23314437,-0.6064143,1.72E-04
MetaWear61,E15561CB9161,1708084870775,2024-02-16T14:01:10,0.05,0.7602009,-0.23317821,-0.60640126,2.15E-04
MetaWear61,E15561CB9161,1708084870785,2024-02-16T14:01:10,0.06,0.7602009,-0.23321168,-0.6063884,2.57E-04
MetaWear61,E15561CB9161,1708084870795,2024-02-16T14:01:10,0.07,0.7602008,-0.23324493,-0.60637575,2.99E-04
MetaWear61,E15561CB9161,1708084870805,2024-02-16T14:01:10,0.08,0.7602005,-0.23328227,-0.6063618,3.47E-04
MetaWear61,E15561CB9161,1708084870815,2024-02-16T14:01:10,0.09,0.7601998,-0.23331703,-0.60634905,3.90E-04
MetaWear61,E15561CB9161,1708084870825,2024-02-16T14:01:10,0.1,0.760199,-0.2333474,-0.6063383,4.29E-04
MetaWear61,E15561CB9161,1708084870835,2024-02-16T14:01:10,0.11,0.7601982,-0.23334444,-0.6063407,4.25E-04
MetaWear61,E15561CB9161,1708084870845,2024-02-16T14:01:10,0.12,0.7601653,-0.23337337,-0.6063708,4.75E-04
MetaWear61,E15561CB9161,1708084870855,2024-02-16T14:01:10,0.13,0.76012605,-0.23337112,-0.60642076,4.87E-04
MetaWear61,E15561CB9161,1708084870865,2024-02-16T14:01:10,0.14,0.7600861,-0.23336829,-0.60647184,4.99E-04
MetaWear61,E15561CB9161,1708084870875,2024-02-16T14:01:10,0.15,0.7600457,-0.23336515,-0.60652363,5.10E-04
MetaWear61,E15561CB9161,1708084870885,2024-02-16T14:01:10,0.16,0.76000744,-0.23336302,-0.60657245,5.21E-04
MetaWear61,E15561CB9161,1708084870895,2024-02-16T14:01:10,0.17,0.76000494,-0.23336136,-0.6065762,5.18E-04
MetaWear61,E15561CB9161,1708084870905,2024-02-16T14:01:10,0.18,0.7600162,-0.23331544,-0.6065797,5.51E-04
MetaWear61,E15561CB9161,1708084870915,2024-02-16T14:01:10,0.19,0.7600306,-0.23326053,-0.6065827,5.90E-04
MetaWear61,E15561CB9161,1708084870925,2024-02-16T14:01:10,0.2,0.7600491,-0.23319356,-0.60658526,6.38E-04
MetaWear61,E15561CB9161,1708084870935,2024-02-16T14:01:10,0.21,0.7600708,-0.23312005,-0.60658634,6.94E-04
MetaWear61,E15561CB9161,1708084870945,2024-02-16T14:01:10,0.22,0.7600932,-0.23304547,-0.6065869,7.50E-04
MetaWear61,E15561CB9161,1708084870955,2024-02-16T14:01:10,0.23,0.76011205,-0.23297986,-0.60658836,8.00E-04
