Device,MAC,Timestamp,Time(03:00),Elapsed(s),X(number),Y(number),Z (number)
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714119402970,null,null,0.99981064000,0.01754785900,-0.00840804300,-0.00000460557
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714119402971,null,null,0.99981064000,0.01754785900,-0.00840804300,-0.00000460557
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714119402972,null,null,0.99981064000,0.01754785900,-0.00840804300,-0.00000460557
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714119403013,null,null,0.99981064000,0.01754785900,-0.00840804300,-0.00000460557
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714119403014,null,null,0.99981064000,0.01754785900,-0.00840804300,-0.00000460557
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714119403015,null,null,0.99981064000,0.01754785900,-0.00840804300,-0.00000460557
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714119403016,null,null,0.99981064000,0.01754785900,-0.00840804300,-0.00000460557
NameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714119402794,null,null,0.99981064000,0.01754785900,-0.00840804300,-0.00000460557
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714119402794,null,null,0.99981064000,0.01754785900,-0.00840804300,-0.00000460557
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714119402795,null,null,0.99981064000,0.01754785900,-0.00840804300,-0.00000460557
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714119402795,null,null,0.99981064000,0.01754785900,-0.00840804300,-0.00000460557
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714119402796,null,null,0.99981064000,0.01754785900,-0.00840804300,-0.00000460557
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714119402796,null,null,0.99981064000,0.01754785900,-0.00840804300,-0.00000460557
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714119402797,null,null,0.99981064000,0.01754785900,-0.00840804300,-0.00000460557
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714119402797,null,null,0.99981064000,0.01754785900,-0.00840804300,-0.00000460557
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714119402833,null,null,0.99981064000,0.01754785900,-0.00840804300,-0.00000460557
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714119402834,null,null,0.99981064000,0.01754785900,-0.00840804300,-0.00000460557
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714119402835,null,null,0.99981064000,0.01754785900,-0.00840804300,-0.00000460557
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714119402836,null,null,0.99981064000,0.01754785900,-0.00840804300,-0.00000460557
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714119402878,null,null,0.99981064000,0.01754785900,-0.00840804300,-0.00000460557
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714119402879,null,null,0.99981064000,0.01754785900,-0.00840804300,-0.00000460557
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714119402880,null,null,0.99981064000,0.01754785900,-0.00840804300,-0.00000460557
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714119402881,null,null,0.99981064000,0.01754785900,-0.00840804300,-0.00000460557
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714119402882,null,null,0.99981064000,0.01754785900,-0.00840804300,-0.00000460557
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714119402923,null,null,0.99981064000,0.01754785900,-0.00840804300,-0.00000460557
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714119402924,null,null,0.99981064000,0.01754785900,-0.00840804300,-0.00000460557
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714119402925,null,null,0.99981064000,0.01754785900,-0.00840804300,-0.00000460557
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714119402926,null,null,0.99981064000,0.01754785900,-0.00840804300,-0.00000460557
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714119402968,null,null,0.99981064000,0.01754785900,-0.00840804300,-0.00000460557
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714119402969,null,null,0.99981064000,0.01754785900,-0.00840804300,-0.00000460557
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714119402970,null,null,0.99981064000,0.01754785900,-0.00840804300,-0.00000460557
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714119402971,null,null,0.99981064000,0.01754785900,-0.00840804300,-0.00000460557
