Device,MAC,Timestamp,Time(03:00),Elapsed(s),X(number),Y(number),Z (number)
ameE1:55:61:CB:91:61,E15561CB9161,1714119403005,null,null,0.64575076000,0.27008920000,0.71416444000,-0.00519592500
ameE1:55:61:CB:91:61,E15561CB9161,1714119402818,null,null,0.64575410000,0.27008150000,0.71416440000,-0.00518748440
ameE1:55:61:CB:91:61,E15561CB9161,1714119402818,null,null,0.64573090000,0.26998737000,0.71422190000,-0.00505916080
ameE1:55:61:CB:91:61,E15561CB9161,1714119402819,null,null,0.64575010000,0.26994150000,0.71422225000,-0.00500842700
ameE1:55:61:CB:91:61,E15561CB9161,1714119402820,null,null,0.64575010000,0.26994150000,0.71422225000,-0.00500842700
ameE1:55:61:CB:91:61,E15561CB9161,1714119402864,null,null,0.64576600000,0.27002585000,0.71417510000,-0.00512154100
ameE1:55:61:CB:91:61,E15561CB9161,1714119402865,null,null,0.64578944000,0.27011000000,0.71412134000,-0.00523728130
ameE1:55:61:CB:91:61,E15561CB9161,1714119402866,null,null,0.64576670000,0.27016440000,0.71412090000,-0.00529744150
ameE1:55:61:CB:91:61,E15561CB9161,1714119402867,null,null,0.64576670000,0.27016440000,0.71412090000,-0.00529744150
ameE1:55:61:CB:91:61,E15561CB9161,1714119402868,null,null,0.64574915000,0.27011117000,0.71415746000,-0.00522315200
ameE1:55:61:CB:91:61,E15561CB9161,1714119402908,null,null,0.64573320000,0.27003926000,0.71419970000,-0.00512584670
ameE1:55:61:CB:91:61,E15561CB9161,1714119402909,null,null,0.64575624000,0.26998404000,0.71420014000,-0.00506477660
ameE1:55:61:CB:91:61,E15561CB9161,1714119402910,null,null,0.64575624000,0.26998404000,0.71420014000,-0.00506477660
ameE1:55:61:CB:91:61,E15561CB9161,1714119402911,null,null,0.64573914000,0.27002490000,0.71419984000,-0.00510997000
ameE1:55:61:CB:91:61,E15561CB9161,1714119402954,null,null,0.64574980000,0.27009135000,0.71416444000,-0.00519833700
ameE1:55:61:CB:91:61,E15561CB9161,1714119402955,null,null,0.64572614000,0.27014790000,0.71416396000,-0.00526085100
ameE1:55:61:CB:91:61,E15561CB9161,1714119402956,null,null,0.64572614000,0.27014790000,0.71416396000,-0.00526085100
ameE1:55:61:CB:91:61,E15561CB9161,1714119402958,null,null,0.64572614000,0.27014790000,0.71416396000,-0.00526085100
ameE1:55:61:CB:91:61,E15561CB9161,1714119402959,null,null,0.64574560000,0.27010150000,0.71416430000,-0.00520951530
ameE1:55:61:CB:91:61,E15561CB9161,1714119402998,null,null,0.64576620000,0.27005222000,0.71416473000,-0.00515502640
ameE1:55:61:CB:91:61,E15561CB9161,1714119403003,null,null,0.64576620000,0.27005222000,0.71416473000,-0.00515502640
ameE1:55:61:CB:91:61,E15561CB9161,1714119403004,null,null,0.64576620000,0.27005222000,0.71416473000,-0.00515502640
